번호,시장명,상호명,주소,대표,연락처,취급품목(업종),,,2538페이지중 980페이지까지만함
44810,군산공설시장,멋찌개,"전라북도 군산시 신금길 18, 군산공설시장 2층 청년몰 멋찌개",안나,-,한식,,,
44809,군산공설시장,풍전정육점,"전라북도 군산시 신금길 18, 1층 1007호",강건순,-,한식,,,
44808,군산공설시장,목화주단,"전라북도 군산시 신금길 18, 군산공설시장 2층 2125호 목화주단",오태자,634455932,한복주단,,,
44807,군산공설시장,부영주단,"전라북도 군산시 신금길 18, 군산공설시장 2층 2123호 부영주단",이순옥,634431284,한복,,,
44806,군산공설시장,여원주단. 한복,"전라북도 군산시 신금길 18(신영동), 여원주단. 한복",김명자,-,한복,,,
44805,군산공설시장,강여사맛나먹걸이,"전라북도 군산시 신금길 18(신영동), 1064호",강성덕,-,"피자, 햄버거, 샌드위치및유사음식점업",,,
번호,시장명,상호명,주소,대표,연락처,취급품목(업종),,,
44804,군산공설시장,평화족발빵,"전라북도 군산시 신금길 18(신영동), 1074호",이진열,-,"피자, 햄버거, 샌드위치및유사음식점업",,,
44803,군산공설시장,제이뷰티,"전라북도 군산시 신금길 18, 군산공설시장 2층 2016호 제이뷰티",진경주,-,피부미용업,,,
44802,군산공설시장,상미주단,"전라북도 군산시 신금길 18, 군산공설시장 2층 2126호",송순자,634433816,"포목,주단",,,
44801,군산공설시장,한일커튼수예,"전라북도 군산시 신금길 18(신영동), 2023호",전이분,634433513,"커튼,수예",,,
44800,군산공설시장,우경커텐,"전라북도 군산시 신금길 18, 군산공설시장 2층 2020호 우경커텐",장동만,634458590,커튼,,,
44799,군산공설시장,충남칼국수,"전라북도 군산시 신금길 18, 1층 1022호",김연희,634427936,칼국수,,,
44798,군산공설시장,소윤혼수전문점,"전라북도 군산시 신금길 18(신영동), 2035호",서영선,-,침구류,,,
44797,군산공설시장,재은침구사,"전라북도 군산시 신금길 18, 2층 2049호 재은침구사",박명신,634464802,침구류,,,
44796,군산공설시장,흥보이불,"전라북도 군산시 금암3길, 금암동 73-5 2층 2122호",이유례,-,침구류,,,
44795,군산공설시장,방주커텐,"전라북도 군산시 신금길 18, 군산공설시장 2층 2036호 방주커텐",서춘옥,634454474,"침구,커튼",,,
44794,군산공설시장,제일이불,"전라북도 군산시 신금길 18, 군산공설시장 2층 2043호 제일이불",김을순,634457026,침구,,,
44793,군산공설시장,한일패션침구,"전라북도 군산시 신금길 18(신영동), 2025호",정대영,-,침구,,,
44792,군산공설시장,29번청과,"전라북도 군산시 신금길 18, 1096호",김애자,634459375,청과,,,
44791,군산공설시장,대동철공소,"전라북도 군산시 신금길 18(신영동), 대동철공소",최재원,634615237,철공소,,,
44790,군산공설시장,성산건강원,"전라북도 군산시 신금길 18(신영동), 1026호",서종기,634455430,"즉석판매제조,가공업",,,
44789,군산공설시장,우일맛김,"전라북도 군산시 신금길 18, 1층 1127호 우일맛김",김창업,634635959,즉석가공식품,,,
44788,군산공설시장,청년미각,"전라북도 군산시 신금길 18 (신영동), 2층 1호 청년미각",이인성,634456318,중식,,,
44787,군산공설시장,신영족발집,"전라북도 군산시 신금길 18(신영동), 1065호",유점순,-,족발,,,
44786,군산공설시장,아리울맛김,"전라북도 군산시 신금길 18, 군산공설시장 1층 1062호 아리울맛김",한미경,-,"조미김,수산물가공식품",,,
44785,군산공설시장,강남제분소,"전라북도 군산시 신금길 18(신영동), 1013호",최광희,634458475,"제분, 제환",,,
번호,시장명,상호명,주소,대표,연락처,취급품목(업종),,,
44784,군산공설시장,신농씨제분소,"전라북도 군산시 신금길 18(신영동), 1011호",송도규,634421250,"제분, 제환",,,
44783,군산공설시장,달코미,"전라북도 군산시 신금길 18, 군산공설시장 2층 청년몰 달코미",정미영,-,"제과점,공방",,,
44782,군산공설시장,풍전정육점,"전라북도 군산시 신금길 18 (신영동), 군산공설시장내 풍전정육점",강건순,634451777,정육점,,,
44781,군산공설시장,수복젓집,"전라북도 군산시 신금길 18, 군산공설시장 1층 1102호 수복젓집",김효심,634429680,젓갈,,,
44780,군산공설시장,우리젓갈상회,"전라북도 군산시 신금길 18(신영동), 1085",이선분,-,젓갈,,,
44779,군산공설시장,정희상회,"전라북도 군산시 신금길 18, 1층 1104호 정희상회",장북술,634422577,젓갈,,,
44778,군산공설시장,호남젓집,"전라북도 군산시 신금길 18(신영동), 1086호",전우철,634429680,젓갈,,,
44777,군산공설시장,맛나반찬,"전라북도 군산시 신금길 18, 1층 1107호",김숙자,-,절임식품(반찬),,,
44776,군산공설시장,옹고집,"전라북도 군산시 신금길 18, 군산공설시장 1층 1109호 옹고집",이은숙,-,"장류,젓갈류",,,
44775,군산공설시장,팔도건강식품,"전라북도 군산시 신금길 18, 군산공설시장 1층 1131호 팔도건강식품",박문수,-,"잡화,슈퍼마켓,담배,건강기능식품판매,통신판매,경영",,,
44774,군산공설시장,되었다상회,"전라북도 군산시 신금길 18(신영동), 1031호",김세균,634459156,잡화,,,
44773,군산공설시장,대가,"전라북도 군산시 신금길 18, 1층 1140호",박태웅,634524900,임가공제분,,,
44772,군산공설시장,경성웰빙가마솥,"전라북도 군산시 신금길 18, 1층 1028호 경성웰빙가마솥",황순옥,-,일반철물,,,
44771,군산공설시장,파이어가이즈,"전라북도 군산시 신금길 18, 군산공설시장 2층 청년몰 파이어가이즈",송범준,634425990,일반음식점,,,
44770,군산공설시장,서울미용실,"전라북도 군산시 신금길 18(신영동), 2005호",문선주,634420337,일반미용업,,,
44769,군산공설시장,사랑생약초,"전라북도 군산시 신금길 18, 1층 1121호 사랑생약초",양연준,-,인삼제품,,,
44768,군산공설시장,금산인삼사,"전라북도 군산시 금암3길, 금암동 73-5 금산인삼사",강고중,634421468,"인삼, 생약, 기타식품, 홍삼, 건강식품, 농산물",,,
44767,군산공설시장,금실침구,"전라북도 군산시 신금길 18(신영동), 60, 61호",장필순,-,"이불, 침구류, 전자상거래업",,,
44766,군산공설시장,영도이불2083호,"전라북도 군산시 신금길 18(신영동), 2083호",유상훈,634462873,이불 등,,,
44765,군산공설시장,가나이불,"전라북도 군산시 신금길 18, 군산공설시장 2층 2037호 가나이불",이순례,634432876,이불,,,
번호,시장명,상호명,주소,대표,연락처,취급품목(업종),,,
44764,군산공설시장,대우이불,"전라북도 군산시 신금길 18, 군산공설시장 2층 2041호 대우이불",김칠성,634461255,이불,,,
44763,군산공설시장,세나이불,"전라북도 군산시 신금길 18, 군산공설시장 2층 2030호 세나이불",백정희,634461292,이불,,,
44762,군산공설시장,회현이불,"전라북도 군산시 신금길 18(신영동), 2027호",김은주,634458358,이불,,,
44761,군산공설시장,개성한약국,"전라북도 군산시 신금길 18, 군산공설시장 1층 1029호 개성한약국",이영교,634455539,의약품,,,
44760,군산공설시장,라미양품,"전라북도 군산시 신금길 18(신영동), 2101호",김점례,634451564,"의류,잡화",,,
44759,군산공설시장,바이올렛,"전라북도 군산시 신금길 18, 군산공설시장 2층 2070호 바이올렛",임미용,634655412,"의류,잡화",,,
44758,군산공설시장,에스더,"전라북도 군산시 신금길 18, 군산공설시장 2층 2133호 에스더",김인숙,634459397,의류(속옷),,,
44757,군산공설시장,건일양품,"전라북도 군산시 신금길 18, 군산공설시장 2층 2068호 건일양품",전선월,-,의류,,,
44756,군산공설시장,군산상회,"전라북도 군산시 신금길 18, 2층 2074호 군산상회",조영수,634461323,의류,,,
44755,군산공설시장,군옥상회,"전라북도 군산시 신금길 18(신영동), 2069호",강순애,634461252,의류,,,
44754,군산공설시장,군자주단,"전라북도 군산시 신금길 18, 군산공설시장 2층 2086호 군자주단",구군자,634427982,의류,,,
44753,군산공설시장,몽블랑,"전라북도 군산시 신금길 18, 군산공설시장 2층 2108호 몽블랑",윤순종,634468067,의류,,,
44752,군산공설시장,보라상회,"전라북도 군산시 신금길 18(신영동), 2139호",박해자,634425182,의류,,,
44751,군산공설시장,부산상회,"전라북도 군산시 신금길 18(신영동), 2072호",이인순,634450033,의류,,,
44750,군산공설시장,블루문,"전라북도 군산시 신금길 18, 군산공설시장 2층 2071호 블루문",문지희,-,의류,,,
44749,군산공설시장,선영양품,"전라북도 군산시 신금길 18, 군산공설시장 2층 2099호 선영양품",강영자,634460667,의류,,,
44748,군산공설시장,올담패션,"전라북도 군산시 신금길 18, 군산공설시장 2층 올담패션",박은실,-,의류,,,
44747,군산공설시장,지성패션,"전라북도 군산시 신금길 18, 2140호",전순자,634450962,의류,,,
44746,군산공설시장,진달래패션,"전라북도 군산시 신금길 18, 군산공설시장 2층 2107호 진달래패션",송석재,-,의류,,,
44745,군산공설시장,충남닭집,"전라북도 군산시 신금길 18, 1층 1060호",모진상,634458495,육계,,,
번호,시장명,상호명,주소,대표,연락처,취급품목(업종),,,
44744,군산공설시장,짱스,"전라북도 군산시 신금길 18, 군산공설시장 2층 2135호 짱스",이명희,634452473,"외의,가방,잡화",,,
44743,군산공설시장,은영코너,"전라북도 군산시 신금길 18, 군산공설시장 2층 2097호 은영코너",정경자,634461338,외의,,,
44742,군산공설시장,지원상회,"전라북도 군산시 신금길 18(신영동), 2082호",문부철,-,외의,,,
44741,군산공설시장,옻칠공방,"전라북도 군산시 신금길 18, 군산공설시장 1층 1124호 옻칠공방",윤미경,634645778,"옻칠공예품,목기류,유기류,홍삼류",,,
44740,군산공설시장,핑크모모,"전라북도 군산시 신금길 18, 군산공설시장 2층 2138호 핑크모모",정현실,-,여성복,,,
44739,군산공설시장,맛나상회,"전라북도 군산시 신금길 18, 군산공설시장 1층 1135호 맛나상회",정길자,-,야채,,,
44738,군산공설시장,미성상회,"전라북도 군산시 신금길 18, 1층 1101호",문순임,-,야채,,,
44737,군산공설시장,산지야채,"전라북도 군산시 신금길 18(신영동), 1099호",김용흔,-,야채,,,
44736,군산공설시장,주옥,"전라북도 군산시 신금길 18, 군산공설시장 2층 2014호 주옥",신상숙,634456605,액세서리,,,
44735,군산공설시장,바디메오안경,"전라북도 군산시 신금길 18, 2층 2013호",홍성신,634457750,안경,,,
44734,군산공설시장,시장상회,"전라북도 군산시 신금길 18, 군산공설시장 1층 1041호 시장상회",박기연,-,"쌀,담배",,,
44733,군산공설시장,시장상회,"전라북도 군산시 신금길 18 (신영동), 1041호(신영동, 군산공설시장)",박기연,-,쌀,,,
44732,군산공설시장,기차표신발,"전라북도 군산시 신금길 18, 군산공설시장 2층 2046호 기차표신발",정송임,634461297,신발,,,
44731,군산공설시장,엣지슈,"전라북도 군산시 신금길 18, 2층 2008호 엣지슈",김미리,634680131,신발,,,
44730,군산공설시장,엄마손식품,"전라북도 군산시 신금길 18, 1층 1129호",조영애,634435026,식품(김치류),,,
44729,군산공설시장,상조기름고추상회,"전라북도 군산시 신금길 18, 1층 1015호 상조기름고추상회",김석자,634461029,식품,,,
44728,군산공설시장,드림유통,"전라북도 군산시 신금길 18, 군산공설시장 1층 1037호 드림유통",강영식,634453114,"식자재,슈퍼마켓,생필품",,,
44727,군산공설시장,새진흥정육점,"전라북도 군산시 신금길 18(신영동), 1008호",유남금,634459205,식육판매업,,,
44726,군산공설시장,군산돼지부산물,"전라북도 군산시 신금길 18, 1009호",이동기,-,식육부산물 식육부산물,,,
44725,군산공설시장,군산닭집,"전라북도 군산시 신금길 18, 군산공설시장 2층 1081호 군산닭집",정효원,634462298,식육,,,
번호,시장명,상호명,주소,대표,연락처,취급품목(업종),,,
44724,군산공설시장,만세정육점,"전라북도 군산시 신금길 18(신영동), 1006호",조승환,634468996,식육,,,
44723,군산공설시장,진흥정육점,"전라북도 군산시 신금길 18(신영동), 1061호",최금자,634456934,식육,,,
44722,군산공설시장,전일참기름집,"전라북도 군산시 신금길 18(신영동), 1012호",박종호,634457395,식용유,,,
44721,군산공설시장,백합수예,"전라북도 군산시 신금길 18, 군산공설시장 2층 2028호 백합수예",백정신,634454388,수예,,,
44720,군산공설시장,충청도생약초,"전라북도 군산시 신금길 18, 군산공설시장 1층 1120호 충청도생약초",길병구,634462828,"수삼,대추,농산물,건강식품,기타식품",,,
44719,군산공설시장,회현인삼사,"전라북도 군산시 신금길 18, 1115호",신상구,634458509,"수삼, 건삼",,,
44718,군산공설시장,미성수산,"전라북도 군산시 신금길 18, 군산공설시장 1층 1056호 미성수산",한연숙,634420045,"수산물,건어물",,,
44717,군산공설시장,대박수산,"전라북도 군산시 신금길 18, 1층 1001호 대박수산",이은선,-,수산물,,,
44716,군산공설시장,부안수산,"전라북도 군산시 신금길 18, 1층 1053호 부안수산",김연순,634450814,수산물,,,
44715,군산공설시장,조경상회,"전라북도 군산시 신금길 18, 군산공설시장 1082호 조경상회",박길자,634421185,수산물,,,
44714,군산공설시장,아트숍나비,"전라북도 군산시 신금길 18(신영동), 2010호",김행미,-,소품,,,
44713,군산공설시장,현이네선식,"전라북도 군산시 신금길 18(신영동), 1080호",임양례,634451634,"선식, 장류, 조청",,,
44712,군산공설시장,본아배띠,"전라북도 군산시 신금길 18 (신영동), 2층 404호 군산공설시장 청년몰",이미화,-,서양식 음식점,,,
44711,군산공설시장,온리원알뜰생활용품점,"전라북도 군산시 신금길 18, 군산공설시장 1층 1036호 온리원알뜰생활용품점",최옥주,634461118,생활잡화,,,
44710,군산공설시장,됐다상회,"전라북도 군산시 신금길 18(신영동), 1033호",김해룡,634451970,"생활용품,잡화",,,
44709,군산공설시장,에덴화원,"전라북도 군산시 신금길 18(신영동), 1034호",양희자,634469593,"생화 및 관엽식물,꽃씨 원예용 비료,퇴비",,,
44708,군산공설시장,건포상회,"전라북도 군산시 신금길 18(신영동), 1002호",박연용,634461232,생선,,,
44707,군산공설시장,미화상회,"전라북도 군산시 신금길 18(신영동), 1051호",김옥배,-,생선,,,
44706,군산공설시장,연진상회,"전라북도 군산시 신금길 18, 1층 1003호 연진상회",임병진,-,생선,,,
44705,군산공설시장,충남수산,"전라북도 군산시 신금길 18, 1층 1050호",김숙자,-,생선,,,
번호,시장명,상호명,주소,대표,연락처,취급품목(업종),,,
44704,군산공설시장,해양상회,"전라북도 군산시 신금길 18, 1층 1083호 해양상회",김영규,-,생선,,,
44703,군산공설시장,위생닭집,"전라북도 군산시 금광길 7 (명산동), 위생닭집",박영자,634650050,생닭,,,
44702,군산공설시장,간편먹거리분식,"전라북도 군산시 신금길 18, 군산공설시장 1층 1066호 간편먹거리분식",김애리,634427500,"분식,식사류",,,
44701,군산공설시장,시장족발분식,"전라북도 군산시 신금길 18(신영동), 1075호",소강옥,-,"분식, 족발",,,
44700,군산공설시장,써비스분식,"전라북도 군산시 신금길 18, 1076호",강진아,634458259,분식 및 김밥 전문점,,,
44699,군산공설시장,소문난분식,"전라북도 군산시 신금길 18(신영동), 1073호",김주일,-,분식,,,
44698,군산공설시장,세광김치,"전라북도 군산시 신금길 18, 군산공설시장 1층 1105호 세광김치",김정순,634424033,반찬류,,,
44697,군산공설시장,상미양품,"전라북도 군산시 신금길 18(신영동), 2109호",장금순,634461245,란제리,,,
44696,군산공설시장,수안나란제리,"전라북도 군산시 신금길 18, 공설시장 2층 2131호 수안나란제리",신춘수,-,란제리,,,
44695,군산공설시장,고메식당1370,"전라북도 군산시 신금길 18 (신영동), 공설시장 2층 청년몰 고메식당1370",박규영,637320101,돈까스,,,
44694,군산공설시장,또복이닭강정,"전라북도 군산시 신금길 18, 군산공설시장 1층 1077호 또복이닭강정",홍태호,634421999,닭강정,,,
44693,군산공설시장,농민상회,"전라북도 군산시 신금길 18(신영동), 1111호",이원호,-,농수산자재,,,
44692,군산공설시장,대웅약초,"전라북도 군산시 신금길 18, 군산공설시장 1070호 대웅약초",이일성,634433085,"농산물,인삼.홍삼.건강식품.생약초.기타",,,
44691,군산공설시장,중앙약업사,"전라북도 군산시 신금길 18, 군산공설시장 1층 1071호 중앙약업사",김성구,634423339,"농산물,약초",,,
44690,군산공설시장,군산원협중도매인60번,"전라북도 군산시 하포로 29, 1층 1094호",노정희,634457900,"농산물, 청과, 중도매인",,,
44689,군산공설시장,개성상회,"전라북도 군산시 구시장로 41-2(신영동), 개성상회",최귀순,634455538,농산물,,,
44688,군산공설시장,대성(생)약초,"전라북도 군산시 신금길 18, 1층 1116호",강도일,-,농산물,,,
44687,군산공설시장,이대약초,"전라북도 군산시 신금길 18(신영동), 1072호",이양재,634451025,농산물,,,
44686,군산공설시장,진안약초,"전라북도 군산시 신금길 18, 군산공설시장 1층 1123호 진안약초",이세연,634420979,농산물,,,
44685,군산공설시장,삼미사,"전라북도 군산시 신금길 18, 군산공설시장 2층 2134호 삼미사",이은경,634467315,남성복,,,
번호,시장명,상호명,주소,대표,연락처,취급품목(업종),,,
44684,군산공설시장,윤환상회,"전라북도 군산시 신금길 18(신영동), 2073호",이용대,634427246,남녀의류,,,
44683,군산공설시장,충남고추,"전라북도 군산시 신금길 18(신영동), 1021호",이정숙,634469073,기타음식료품,,,
44682,군산공설시장,그릇도자기판매,"전라북도 군산시 신금길 18, 군산공설시장 1층 1125호 그릇도자기판매",신맹순,-,그릇도자기,,,
44681,군산공설시장,추억의과자,"전라북도 군산시 신금길 18, 군산공설시장 1층 1119호 추억의과자",임영숙,634467789,과자류,,,
44680,군산공설시장,고려인삼,"전라북도 군산시 금암3길, 금암동 73-5 1층 1067호",두진기,634469377,과실,,,
44679,군산공설시장,새벽공방,"전라북도 군산시 신금길 18 (신영동), 군산공설시장 2층 청년몰 새벽공방",정소라,634459350,"공방,공예품",,,
44678,군산공설시장,"작업실,가득","전라북도 군산시 신금길 18, 군산공설시장 2층 청년몰 작업실,가득",이다은,-,"공방, 가죽제품",,,
44677,군산공설시장,시온쌀상회,"전라북도 군산시 신금길 18, 군산공설시장 1층 1042호 시온쌀상회",오윤경,-,곡물,,,
44676,군산공설시장,잡곡상회,"전라북도 군산시 신금길 18(신영동), 1137호",주승식,634464642,곡물,,,
44675,군산공설시장,희열쌀상회,"전라북도 군산시 신금길 18, 군산공설시장 1층 1043호 희열쌀상회",박희철,634465212,곡물,,,
44674,군산공설시장,금성고추상회,"전라북도 군산시 신금길 18(신영동), 1019호",김순자,634461321,고추가루,,,
44673,군산공설시장,중앙고추기름집,"전라북도 군산시 신금길 18, 1층 1010호 중앙고추기름집",이경성,634460674,"고추,참기름,농산물",,,
44672,군산공설시장,육일고추기름집,"전라북도 군산시 신금길 18(신영동), 1023호",이경직,634466933,고추,,,
44671,군산공설시장,건어물카페할인매장,"전라북도 군산시 신금길 18, 군산공설시장 1층 1803호 건어물카페할인매장",김영희,634628235,건어물,,,
44670,군산공설시장,온누리건어물,"전라북도 군산시 신금길 18, 군산공설시장 1층 1132호 온누리건어물",강일숙,634718929,건어물,,,
44669,군산공설시장,한아름건어물,"전라북도 군산시 신금길 18, 군산공설시장 1층 1133호 한아름건어물",방주희,634451675,건어물,,,
44668,군산공설시장,한양상회,"전라북도 군산시 신금길 18, 군산공설시장 1층 1069호 한양상회",최성완,634467200,"건강기능식품판매업, 농산물, 생약초, 기타식품, 인삼",,,
44667,군산공설시장,시장건강원,"전라북도 군산시 신금길 18, 군산공설시장 1층 1024호 시장건강원",이광선,634434595,건강기능식품,,,
44666,군산공설시장,흥복건강원,"전라북도 군산시 신금길 18, 군산공설시장 1층 1025호 흥복건강원",김금숙,-,건강기능식품,,,
44665,군산공설시장,뻥이와강이네,"전라북도 군산시 신금길 18, 군산공설시장 1층 1114호 뻥이와강이네",현금옥,-,강냉이,,,
번호,시장명,상호명,주소,대표,연락처,취급품목(업종),,,
44664,군산공설시장,보석가방,"전라북도 군산시 신금길 18, 군산공설시장 2층 2115호 보석가방",한유자,634636080,가방,,,
44663,군산문화시장,돼지사냥,"전라북도 군산시 하신재길 8, 돼지사냥",김창석,634671343,한식,,,
44662,군산수산물종합센터,수복젓상회,"전라북도 군산시 내항2길 216, 수산물센터 내 수복젓상회",김도심,634428240,젓갈,,,
44661,군산수산물종합센터,겸백이해물,"전라북도 군산시 내항2길 216, 겸백이해물",신정자,634431778,수산물,,,
44660,군산수산물종합센터,고흥영남수산,"전라북도 군산시 내항2길 216, 고흥영남수산",신춘화,634460778,수산물,,,
44659,군산수산물종합센터,대륙수산,"전라북도 군산시 내항2길 216, 22번대륙수산",이명순,-,수산물,,,
44658,군산수산물종합센터,숙희상회,"전라북도 군산시 내항2길 216, 수산물종합센터 내 15번 숙희상회",김숙희,634460336,수산물,,,
44657,군산수산물종합센터,영광수산,"전라북도 군산시 내항2길 216, 영광수산",김혜란,-,수산물,,,
44656,군산수산물종합센터,영림수산,"전라북도 군산시 내항2길 216, 수산물종합센터",임득주,634422976,수산물,,,
44655,군산수산물종합센터,제일수산,"전라북도 군산시 내항2길 216, 제일수산",이영순,634460087,수산물,,,
44654,군산수산물종합센터,중앙수산,"전라북도 군산시 내항2길 216, 종합센터 내 30번 중앙수산",송성호,634460811,수산물,,,
44653,군산수산물종합센터,하빈네수산,"전라북도 군산시 내항2길 216, 하빈네수산",전순정,-,수산물,,,
44652,군산수산물종합센터,형도수산,"전라북도 군산시 내항2길 216, 수산물종합센터 C동 23호 (금동), 형도수산",김옥순,634461695,수산물,,,
44651,군산수산물종합센터,미애수산,"전라북도 군산시 내항2길 216, 1층 a동8번",장미애,634457999,선어 활어,,,
44650,군산수산물종합센터,석이네건어물,"전라북도 군산시 내항2길 216, 군산 수산물 종합센터 석이네건어물",문미,634467587,"생선, 건어물",,,
44649,군산수산물종합센터,소망수산,"전라북도 군산시 내항2길 216, 수산물종합센터 소망수산",김영순,634465361,생선,,,
44648,군산수산물종합센터,대야건어물,"전라북도 군산시 내항2길 223 대야건어물, 대야건어물",장영순,634464801,기타잡화,,,
44647,군산수산물종합센터,수복상회,"전라북도 군산시 내항2길 216, 수산물종합센터 수복상회 (금동), 수복상회",김도심,634428240,기타잡화,,,
44646,군산수산물종합센터,제일수산유통,"전라북도 군산시 내항2길 216, 수산물종합센터 B동 선어 제일수산유통 (금동), 제일수산유통",이경숙,634420370,기타잡화,,,
44645,군산수산물종합센터,진영남원횟집,"전라북도 군산시 내항2길 216, 수산물종합센터 B동 7호 (금동), 진영남원횟집",홍점례,634469163,기타잡화,,,
번호,시장명,상호명,주소,대표,연락처,취급품목(업종),,,
44644,군산수산물종합센터,진영수산,"전라북도 군산시 내항2길 216, 수산물종합센터 A동 42호 (금동), 진영수산",홍명숙,634469166,기타잡화,,,
44643,군산수산물종합센터,군산건어물,"전라북도 군산시 내항2길 216, 군산건어물 c동 29",박영숙,634424825,건어물,,,
44642,군산수산물종합센터,군서물산,"전라북도 군산시 내항2길 216, 군서물산",박종대,-,건어물,,,
44641,군산수산물종합센터,대성건어물,"전라북도 군산시 내항2길 216, 수산물종합센터 내 대성건어물",김현순,634450940,건어물,,,
44640,군산수산물종합센터,대진수산,"전라북도 군산시 내항2길 216, C동1층16호 대진수산건어물",박인재,634453436,건어물,,,
44639,군산수산물종합센터,명성수산건어물,"전라북도 군산시 내항2길 216, 명성건어물",정희심,634467547,건어물,,,
44638,군산수산물종합센터,명진건어물,"전라북도 군산시 내항2길 216, 명진건어물",현명진,-,건어물,,,
44637,군산수산물종합센터,순이네건어물,"전라북도 군산시 내항2길 216, 수산물종합센터 내 순이네건어물",정정순,634426957,건어물,,,
44636,군산수산물종합센터,인천상회,"전라북도 군산시 내항2길 216, 수산물종합센터 내 인천상회",한미자,634432977,건어물,,,
44635,군산수산물종합센터,태산건어물,"전라북도 군산시 내항2길 216, 태산건어물",문규범,634429335,건어물,,,
44634,군산수산물종합센터,풍년건어,"전라북도 군산시 내항2길 216, 풍년건어",백기모,-,건어물,,,
44633,군산수산물종합센터,해동건어물,"전라북도 군산시 내항2길 216, 해동건어물",심윤주,-,건어물,,,
44632,군산신영시장,군산J커피,"전라북도 군산시 동신영길 56 (신영동), 군산J커피",김희준,-,커피 가공업,,,
44631,군산신영시장,군산신영협동조합,"전라북도 군산시 동신영길 56 (신영동), 신영동19-5",윤봉희,7077883412,"전자상거래업,무역업",,,
44630,군산신영시장,개야도수산,"전라북도 군산시 동신영길56, 개야도수산",송희연,-,수산물,,,
44629,군산신영시장,영산상회,"전라북도 군산시 동신영길 36 (신영동), 영산상회",신양임,634433663,수산물,,,
44628,군산신영시장,대광물산,"전라북도 군산시 구시장로 58-6, 신영시장 내 대광물산",소이영,634423018,소금,,,
44627,군산신영시장,성진수산,"전라북도 군산시 동신영길 66 (신영동), 성진수산",박순복,634468258,선어,,,
44626,군산신영시장,항도닭집,"전라북도 군산시 동신영길 36 (신영동), 항도닭집",정지순,634431012,생닭,,,
44625,군산신영시장,나드리떡집,"전라북도 군산시 동신영길 33 (신영동), 나드리떡집",채순덕,634467100,떡,,,
번호,시장명,상호명,주소,대표,연락처,취급품목(업종),,,
44624,군산신영시장,유미향농수산,"전라북도 군산시 동신영길 56 (신영동), 유미향농수산",유미향,634462314,농수산물,,,
44623,군산신영시장,하나상회,"전라북도 군산시 백릉4길 13-2 (경장동), 하나상회",이미숙,634423749,농수산물,,,
44622,군산신영시장,밤 대추상회,"전라북도 군산시 구시장로 58-3 (신영동), 밤대추상회",송기섭,634429737,농산물,,,
44621,군산신영시장,엄마김치,"전라북도 군산시 신영2길 19-1, 엄마김치",주순규,6344524015,"김치, 젓갈",,,
44620,군산신영시장,청정수산,"전라북도 군산시 구시장로 56 (신영동), 청정수산",조경숙,634459731,건어물,,,
44619,군산신영시장,금암상회,"전라북도 군산시 동신영길 56 (신영동), 금암상회",이점옥,634452691,건어,,,
44618,군산역전종합시장,유명해한복,"전라북도 군산시 대명3길 39-1, 역전종합시장 내 유명해한복",유명순,634466977,한복,,,
44617,군산역전종합시장,안방커텐,"전북 군산시 대명3길 35, 안방커텐",이태임,634461359,침구류,,,
44616,군산역전종합시장,아줌마반찬,"전북 군산시 대명3길 15, 아줌마반찬",임도훈,634459410,"즉석식품, 김치,절임식품,반찬",,,
44615,군산역전종합시장,은진정육점,"전북 군산시 구암3.1로 9, 은진정육점",윤석남,634456717,정육,,,
44614,군산역전종합시장,형제젓갈,"전북 군산시 구암3.1로 13, 형제젓갈",임성진,634430473,젓갈,,,
44613,군산역전종합시장,억만상사,"전북 군산시 구암 3.1로 13, 5호",조자연,-,잡화,,,
44612,군산역전종합시장,제일상회,"전라북도 군산시 구암3.1로 13, 제일상회",송종순,634464787,잡화,,,
44611,군산역전종합시장,웳빙약초,"전북 군산시 구암3.1로 13, 웰빙약초",공혜경,634450875,인삼,,,
44610,군산역전종합시장,만물상회,"전라북도 군산시 구암3.1로 13, 만물상회",송영섭,634450501,"의류,잡화",,,
44609,군산역전종합시장,속옷나라,"전북 군산시 대명3길 43, 속옷나라",김유리,634421625,의류,,,
44608,군산역전종합시장,흥성상회,"전북 군산시 대명3길, 48",오경자,634461302,의류,,,
44607,군산역전종합시장,군산상회,"전북 군산시 대명3길 37, 군산상회",전유순,634426366,양말,,,
44606,군산역전종합시장,대명상회,"전북 군산시 대명3길 23, 대명상회",김순래,634423301,"야채,건어물,생선",,,
44605,군산역전종합시장,대명상회,"전북 군산시 대명3길 38-2, 대명상회",유운주,634468442,신발,,,
번호,시장명,상호명,주소,대표,연락처,취급품목(업종),,,
44604,군산역전종합시장,문화고기백화점,"전북 군산시 대명3길 7-4, 문화고기",박희정,634434900,식육,,,
44603,군산역전종합시장,역전정육점,"전북 군산시 대명3길 7-2, 역전정육점",이삼례,634456990,식육,,,
44602,군산역전종합시장,제일건포상회,"전북 군산시 대명3길 31, 4호",양정숙,634467242,생선,,,
44601,군산역전종합시장,골목떡집,"전북 군산시 대명3길 37-1, 골목떡집",김순례,634459324,떡류,,,
44600,군산역전종합시장,군산떡집,"전북 군산시 구암 3.1로 9, 군산떡집",강인숙,634464466,떡류,,,
44599,군산역전종합시장,미면떡집,"전북 군산시 대명3길 38-8, 미면떡집",고신선,634469086,떡류,,,
