번호,시장명,상호명,주소,대표,연락처,취급품목(업종),,,2538페이지중 980페이지까지만함
50705,(용봉동)패션의거리,광주용봉UFS,"광주광역시 북구 설죽로 199, 용봉동",홍혜란,625267757,스포츠의류 외,,,
번호,시장명,상호명,주소,대표,연락처,취급품목(업종),,,
50704,(용봉동)패션의거리,광주용봉(서방)스포츠,"광주광역시 북구 설죽로 249, 용봉동",홍혜란,627163039,스포츠의류 및 용품,,,
50703,(용봉동)패션의거리,올포유용봉점,"광주광역시 북구 설죽로 173, 올포유용봉점",이정우,625238181,스포츠의류,,,
50702,(용봉동)패션의거리,왁골프광주용봉점,"광주광역시 북구 설죽로 235(용봉동), .",김복실,625119090,스포츠의류,,,
50701,(용봉동)패션의거리,JDX 광주용봉점,"광주광역시 북구 설죽로 173, 용봉동 외 2필지",최종복,624514545,"스포츠용품및의류, 안전화, 의류",,,
50700,(용봉동)패션의거리,마코 광주용봉점,"광주광역시 북구 설죽로 169 (용봉동), 마코 용봉점",허정미,625132082,스포츠용품및의류,,,
50699,(용봉동)패션의거리,레노마골프 광주용봉점,"광주광역시 북구 설죽로 227, 1층(용봉동)",이송훈,625236004,"스포츠용품, 의류, 신발",,,
50698,(용봉동)패션의거리,밀레광주용봉점,"광주광역시 북구 설죽로 175번길 4, 1층, 2층(용봉동)",김태인,625288812,"스포츠용품, 의류, 신발",,,
50697,(용봉동)패션의거리,콜핑,"광주광역시 북구 설죽로 255, 용봉동",김종순,625295884,"스포츠용품, 의류 및 등산용품",,,
50696,(용봉동)패션의거리,광주케이투,"광주광역시 북구 설죽로 247, 용봉동",윤영인,625227020,"스포츠용품, 안전용품, 수건, 잡화, 신발 외의",,,
50695,(용봉동)패션의거리,아식스용봉점,"광주광역시 북구 설죽로 187, 1층, 용봉동",한현주,625238811,스포츠용품,,,
50694,(용봉동)패션의거리,푸마 광주용봉점,"광주광역시 북구 설죽로 254, 푸마용봉점",최점희,625127679,스포츠용품,,,
50693,(용봉동)패션의거리,프로스펙스. 몽벨,"광주광역시 북구 설죽로 224, 용봉동",김영희,625231323,"스포츠및등산의류, 용품, 안전용품",,,
50692,(용봉동)패션의거리,(유) 목포스포츠,"광주광역시 북구 설죽로 219 (용봉동), 데상트",박은희,625114743,스포츠 의류 용품 신발,,,
50691,(용봉동)패션의거리,보스트로용봉점,"광주광역시 북구 설죽로 201, 용봉동",김성기,625239494,수탁판매,,,
50690,(용봉동)패션의거리,미용재료백화점,"광주광역시 북구 설죽로 192, 미용재료백화점",김이종,622678051,미용재료,,,
50689,(용봉동)패션의거리,힐크릭 용봉점,"광주광역시 북구 설죽로 259, 1층, 용봉동",이정선,625150810,"골프의류, 레저스포츠안전용품",,,
50688,(용봉동)패션의거리,팬텀 광주용봉점,"광주광역시 북구 설죽로 181, 용봉동",한미희,625281717,"골프웨어, 스포츠의류, 스포츠용품",,,
50687,(용봉동)패션의거리,디즈니 광주용봉점,"광주광역시 북구 설죽로 190, 디즈니 광주용봉점(용봉동)",이복순,-,"골프용품, 골프의류",,,
50686,(용봉동)패션의거리,케이골프,"광주광역시 북구 설죽로 178, 1,2층(용봉동)",김희영,625260017,"골프용품, 골프용품 전자상거래업",,,
50685,(용봉동)패션의거리,핑용봉점,"광주광역시 북구 설죽로 179, 1층(용봉동)",김란희,625281719,"골프스포츠의류, 용품",,,
번호,시장명,상호명,주소,대표,연락처,취급품목(업종),,,
50684,(용봉동)패션의거리,힐크릭광주용봉점,"광주광역시 북구 설죽로 259(용봉동), 힐크릭광주용봉점",장경의,-,골프스포츠의류,,,
50683,(운암동)공구의거리,대륙종합상사,"광주광역시 북구 하남대로 797, 대륙종합상사",김동영,625233208,합성고무 및 플라스틱물질 도매업,,,
50682,(운암동)공구의거리,호남페인트,"광주 북구 하남대로 791, 호남페인트",노창호,625150471,"페이트, 페인트도장공사",,,
50681,(운암동)공구의거리,제일볼트,"광주광역시 북구 하남대로 773, 제일볼트",고장석,625159127,특수볼트제작,,,
50680,(운암동)공구의거리,한일종합상사,"광주광역시 북구 하남대로 780, 한일종합상사",임기섭,625215354,철만물,,,
50679,(운암동)공구의거리,선진공구,"광주광역시 북구 하남대로 810, 선진공구",이재석,625128760,"전동공구, 철물 안전공구",,,
50678,(운암동)공구의거리,종합공구,"광주 북구 하남대로 765, 1층,종합공구",이길삼,625292123,"일반철물및수공구,안전장구잡화",,,
50677,(운암동)공구의거리,대신공업,"광주 북구 하남대로 760, 대신공업",나연주,-,일반기계장비수리업,,,
50676,(운암동)공구의거리,경인윤활유,"광주 북구 하남대로 791, 경인윤활유",박병도,625252489,윤활류,,,
50675,(운암동)공구의거리,㈜고려용접재료,"광주 북구 하남대로 778-1, ㈜고려용접재료",신복식,625127191,용접재료,,,
50674,(운암동)공구의거리,유진냉열,"광주광역시 북구 하남대로 782, 유진냉열",유금오,625226266,"에어컨자재,비철,철물",,,
50673,(운암동)공구의거리,거성케미칼,"광주광역시 북구 하남대로 781-1(운암동), 1층",박영애,625239933,"실리콘,본드",,,
50672,(운암동)공구의거리,비젼소방기구,"광주 북구 하남대로 771, 비젼소방기구",유홍주,625139119,소방기구,,,
50671,(운암동)공구의거리,천수이엔지,"광주광역시 북구 하남대로 780, 천수이엔지",양성혜,625135551,"상하수도배관설비,일반건축공사",,,
50670,(운암동)공구의거리,선산종합배관,"광주광역시 북구 하남대로 789, 선산종합배관",조태현,625219192,"배관,철만물,건축자재,호스",,,
50669,(운암동)공구의거리,파워공구,"광주광역시 북구 하남대로 786-1(운암동), 1층",임명섭,624498509,"공구A||chr(47)||S 공구,소모품",,,
50668,(운암동)공구의거리,삼영상사,"광주광역시 북구 하남대로 787-2 (운암동), 삼영상사",정영자,625116194,"공구, 철물외",,,
50667,(포항운하)송림시장,보금당약국,"경상북도 포항시 남구 운하로36번길 7, 송림시장 1-130",김영희,542833727,양약,,,
50666,(포항운하)송림시장,제일슈퍼,"경상북도 포항시 남구 운하로24번길 5 (송도동), 501-4",안기종,542730523,식잡 담배,,,
50665,(포항운하)송림시장,정아식육점,"경상북도 포항시 남구 운하로36번길 7(송도동), 정아식육점",최규봉,542758016,식육 식육,,,
번호,시장명,상호명,주소,대표,연락처,취급품목(업종),,,
50664,(포항운하)송림시장,나이스마트송림,"경상북도 포항시 남구 운하로36번길 12(송도동), 나이스마트송림",이종태,542820600,슈퍼마켓,,,
50663,(포항운하)송림시장,송림제분소,"경상북도 포항시 남구 운하로36번길 7, 송림제분소",최성현,542779087,떡방아간,,,
50662,1913송정역시장(송정역전매일시장),갱소년,"광주광역시 광산구 송정로 8번길 7-4, 갱소년",선지혜,629421913,휴게음식,,,
50661,1913송정역시장(송정역전매일시장),마카롱상점,"광주광역시 광산구 송정로 8번길, 14",김임숙,-,휴게음식,,,
50660,1913송정역시장(송정역전매일시장),불꼬챙이,"광주광역시 광산구 송정로8번길 37 (송정동), 불꼬챙이",윤영순,622694568,휴게음식,,,
50659,1913송정역시장(송정역전매일시장),서울한과,"광주광역시 광산구 송정로 8번길, 41",박미순,629440538,휴게음식,,,
50658,1913송정역시장(송정역전매일시장),아이스깨끼,"광주광역시 광산구 송정로 8번길, 13",범웅,-,휴게음식,,,
50657,1913송정역시장(송정역전매일시장),웅이네,"광주광역시 광산구 송정로 8번길, 10-2",김현웅,623739220,휴게음식,,,
50656,1913송정역시장(송정역전매일시장),웅이네,"광주광역시 광산구 송정로8번길 10-2(송정동), 웅이네",김현웅,623739220,휴게음식,,,
50655,1913송정역시장(송정역전매일시장),황금호두,"광주광역시 광산구 송정로8번길 6, 황금호두",정정아,629449966,호두과자,,,
50654,1913송정역시장(송정역전매일시장),서울장수국수,"광주광역시 광산구 송정로8번길 41(송정동), 1층",김인석,-,한식,,,
50653,1913송정역시장(송정역전매일시장),송정 1913 맛집,"광주광역시 광산구 송정로 8번길, 21-8",최남석,624167707,한식,,,
50652,1913송정역시장(송정역전매일시장),송정리녹두빈대떡,"광주광역시 광산구 송정로8번길 50 (송정동), 1층 송정리녹두빈대떡",류혜진,625219999,한식,,,
50651,1913송정역시장(송정역전매일시장),스태잇,"광주광역시 광산구 송정로 8번길, 50",이태희,-,한식,,,
50650,1913송정역시장(송정역전매일시장),아짐손불곱창갈비,"광주광역시 광산구 송정로8번길 32 (송정동), 아짐손불곱창갈비",윤호열,622612444,한식,,,
50649,1913송정역시장(송정역전매일시장),영명국밥,"광주광역시 광산구 송정로8번길 5, 영명국밥",채승주,629422727,한식,,,
50648,1913송정역시장(송정역전매일시장),족발쏘시지,"광주광역시 광산구 송정로8번길 14, 1층",유정민,629421300,한식,,,
50647,1913송정역시장(송정역전매일시장),현대국밥,"광주광역시 광산구 송정로 8번길, 3",윤삼열,629436163,한식,,,
50646,1913송정역시장(송정역전매일시장),흥부네사랑식당,"광주광역시 과산구 도산산송길 31, 상아아파트 상가동 101호",박복심,629445357,한식,,,
50645,1913송정역시장(송정역전매일시장),역전핏자,"광주광역시 광산구 송정로8번길 14, 1층",정동혁,624191913,피자,,,
번호,시장명,상호명,주소,대표,연락처,취급품목(업종),,,
50644,1913송정역시장(송정역전매일시장),매일닭집,"광주광역시 광산구 송정로8번길 32-1(송정동), 1층",김용금,629422826,통닭,,,
50643,1913송정역시장(송정역전매일시장),발효명가협동조합,"광주광역시 광산구 송정로8번길 50 (송정동), 발효명가",나용수,624139782,탁주 및 약주 제조업||chr(47)||전자상거래업||chr(47)||한식,,,
50642,1913송정역시장(송정역전매일시장),느린먹거리 by 부각마을,"광주광역시 광산구 송정로8번길 26 (송정동), 느린먹거리 by 부각마을",노지현,625729665,커피외,,,
50641,1913송정역시장(송정역전매일시장),송정cafe1913,"광주광역시 광산구 송정로 8번길, 17",김주성,629461913,커피,,,
50640,1913송정역시장(송정역전매일시장),현대식육점,"광주광역시 광산구 송정로8번길 2, 현대식육점",김용복,629440334,"축산물, 임산물(일반)",,,
50639,1913송정역시장(송정역전매일시장),매일청과,"광주광역시 광산구 송정로8번길 36 (송정동), 매일청과",박순희,629417606,"청과, 휴게음식||chr(47)||과일주스",,,
50638,1913송정역시장(송정역전매일시장),개미네고추방앗간,"광주광역시 광산구 송정로 8번길, 33",박삼순,629416605,참기름,,,
50637,1913송정역시장(송정역전매일시장),수향,"광주광역시 광산구 송정로 8번길, 15",서범수,-,중식,,,
50636,1913송정역시장(송정역전매일시장),먹태상회,"광주광역시 광산구 송정로 8번길, 36",장화영,-,주점,,,
50635,1913송정역시장(송정역전매일시장),또아,"광주광역시 광산구 송정로8번길 11, 또아",박민정,629556945,제과점업,,,
50634,1913송정역시장(송정역전매일시장),쑥||chr(39)||s 초코파이,"광주광역시 광산구 송정로 8번길, 27",정화숙,629411913,제과점,,,
50633,1913송정역시장(송정역전매일시장),스텔라 제이 (Stella-j),"광주광역시 광산구 송정로8번길 33(송정동), 스텔라제이(Stlla-j)",최설희,-,전자상거래업,,,
50632,1913송정역시장(송정역전매일시장),니코니코니,"광주광역시 광산구 도산신송길 31, 상가동1층 105호",박선구,629418401,일식,,,
50631,1913송정역시장(송정역전매일시장),장우손부산어묵,"광주광역시 광산구 송정로 8번길, 36",채영옥,629431913,어묵,,,
50630,1913송정역시장(송정역전매일시장),빨간머리앤,"광주광역시 광산구 송정로8번길 13, 빨간머리앤",김현주,-,"액세서리,팬시,완구,잡화",,,
50629,1913송정역시장(송정역전매일시장),안녕제이,"광주광역시 광산구 송정로 8번길, 33",최설희,-,액세서리,,,
50628,1913송정역시장(송정역전매일시장),푸르미식품,"광주광역시 광산구 송정로 8번길, 10-2",박건태,629626244,쌀,,,
50627,1913송정역시장(송정역전매일시장),서봄사진관,"광주광역시 광산구 송정로8번길 33, 서봄사진관",김수성,635300001,사진,,,
